Parameter,Description,Default,Minimum,Maximum,Reference
Kpuu\_jeju,"Partition coefficient of jejunum, -",1,0.5,5,Assume
Kpuu\_ileum,"Partition coefficient of ileum, -",1,0.5,5,Assume
Kpuu\_cecum,"Partition coefficient of cecum, -",1,0.5,5,Assume
Kpuu\_colon,"Partition coefficient of colon, -",1,0.5,5,Assume
Kpuu\_liver,"Partition coefficient of liver, -",1,0.5,5,Assume
V\_central,"Volume of central compartment, L/Kg",15,6,24,\cite{connarn2017pharmacokinetics}
V\_periph,"Volume of peripheral compartment, L/Kg",35,14,56,\cite{connarn2017pharmacokinetics}
Kc2p,"Transfer rate constants from central to peripheral compartment, 1/h",0.1,0.01,0.19,\cite{connarn2017pharmacokinetics}
Kp2c,"Transfer rate constants from peripheral to central compartment, 1/h",0.04,0.004,0.076,\cite{connarn2017pharmacokinetics}
Kelim,"Elimination rate constant from central compartment, 1/h",0,,,Assumed
Vmax\_met\_vitro\_intestine,"Metabolism Vmax in intestine, micromole/min/mg microsomal proteins",2.60E-05,0.001,1.00E-05,\cite{connarn2015metabolism}
Vmax\_met\_vitro\_liver,"Metabolism Vmax in liver, micromole/min/mg microsomal proteins",0.0001,0.001,1.00E-05,\cite{connarn2015metabolism}
Km\_met\_vitro\_intestine,"Metabolism Km in intestine, micromole/min/mg microsomal proteins",573.4,,,\cite{connarn2015metabolism}
Km\_met\_vitro\_liver,"Metabolism Km in liver, micromole/min/mg microsomal proteins",265.7,,,\cite{connarn2015metabolism}
